 
(Cantidad de reviews, Score, Titulo)
(1069, 4.0, 'Fahrenheit 451 ')
(992, 4.5, 'Animal Farm ')
(934, 4.0, 'F')
(933, 4.0, 'Great Gatsby')
(609, 4.0, 'Old Man And The Sea ')
(586, 4.5, 'Jane Eyre ')
(556, 4.0, "Morrison's Beloved ")
(544, 4.5, 'Silmarillion Poster Collection')
(517, 4.5, 'The Grapes of Wrath : Text and Criticism')
(485, 3.5, 'Maxnotes the House on Mango Street ')
(349, 4.0, 'Heart of Darkness ')
(347, 4.0, 'Heart of Darkness: An Authoritative Text')
(343, 4.0, 'A Farewell to Arms ')
(317, 4.0, 'Frankenstein ')
(300, 4.0, 'The Awakening ')
(299, 4.0, 'Adventures of Huckleberry Finn: A Case Study in Critical Controversy ')
(239, 4.0, 'All The Pretty Horses')
(219, 4.5, 'Anna Karenina: The Maude Translation : Backgrounds nd Sources Criticism ')
(212, 4.5, 'The Prince ')
(171, 4.0, 'The Heart Is a Lonely Hunter')
(163, 4.0, 'Death of a Salesman ')
(157, 4.0, "Richard Wright's Native Son ")
(142, 4.0, 'Hamlet ')
(142, 4.0, 'Hamlet ')
(142, 4.0, 'Hamlet: The New Variorum Edition ')
(140, 4.0, 'MAXnotes for Metamorphosis ')
(124, 5.0, 'Halls of Fame: Essays')
(111, 4.0, 'Jude the Obscure ')
(111, 4.0, 'Jude the Obscure ')
(108, 4.0, 'Ultimate Unofficial Guide to the Mysteries of Harry Potter')
(107, 4.0, 'Ultimate Unofficial Guide to the Mysteries of Harry Potter')
(90, 4.5, 'Dubliners')
(90, 4.5, 'The House of Mirth ')
(90, 4.5, 'The House of Mirth: Authoritative Text Backgrounds and Contexts Criticism ')
(90, 3.5, 'Shakespeare: The Invention of the Human')
(89, 4.5, "William Shakespeare's Macbeth")
(89, 4.5, "William Shakespeare's Macbeth ")
(88, 4.5, "Gulliver's Travels ")
(87, 4.5, "Dante's Divine Comedy: Inferno : Journey to Joy ")
(84, 4.0, 'Mansfield Park: Authoritative Text')
(81, 5.0, 'The River Why')
(81, 5.0, 'The River Why')
(80, 4.5, 'Mbi ')
(77, 4.0, 'Small Wonder: Essays')
(76, 4.5, 'Ex Libris : Confessions of a Common Reader')
(76, 4.5, 'Ex Libris : Confessions of a Common Reader')
(74, 4.0, 'Letters to a Young Conservative')
(73, 5.0, 'The Gulag Archipelago: 1918')
(73, 5.0, 'The Gulag Archipelago: 1918')
(73, 5.0, 'The Gulag Archipelago 1918')
(68, 4.0, 'The Western Canon: The Books and School of the Ages')
(67, 4.5, 'The Mysterious Island ')
(63, 4.5, 'The Patient ')
(61, 2.5, 'The Sexual Life of Catherine M')
(59, 4.0, "Henry James's the Portrait of a Lady ")
(58, 4.5, 'The Annotated Lolita : Revised and Updated')
(57, 4.0, 'How to Read and Why')
(56, 4.0, 'How To Read and Why')
(54, 4.0, 'Resurrecting Mingus')
(53, 4.0, 'Hooking Up')
(53, 4.0, 'Hooking Up')
(52, 3.5, 'Fraud')
(50, 4.5, 'Sexual Personae : Art & Decadence from Nefertiti to Emily Dickinson ')
(49, 4.0, 'The Partly Cloudy Patriot')
(48, 4.0, 'Great Books')
(47, 3.5, 'Athenaze: An Introduction to Ancient Greek')
(44, 5.0, 'Pieces of My Heart: Writings Inspired by Animals and Nature')
(42, 4.0, 'The Taming of the Shrew : Texts and Contexts ')
(42, 4.0, 'The Neal Pollack Anthology of American Literature')
(41, 4.0, "John Steinbeck's of Mice and Men ")
(40, 4.0, 'Capital: A Critique of Political Economy')
(40, 4.0, 'Capital : A Critique of Political Economy ')
(40, 4.0, 'The Hidden Key to Harry Potter: Understanding the Meaning')
(40, 5.0, 'In His Own Write')
(39, 4.0, 'Double Fold : Libraries and the Assault on Paper')
(38, 4.0, 'High Tide in Tucson : Essays from Now or Never')
(38, 4.5, 'The Souls of Black Folk')
(37, 4.0, 'Antigone')
(37, 4.0, 'Mythology : Timeless Tales of Gods and Heroes')
(37, 3.5, 'Were You Always an Italian')
(37, 4.5, 'Bleak House: An Authoritative and Annotated Text')
(37, 5.0, 'Incidents in the Life of a Slave Girl ')
(37, 5.0, 'The Dinosaur Heresies: New Theories Unlocking the Mystery of the Dinosaurs and Their Extinction')
(37, 4.5, 'Le Petit Prince ')
(36, 4.5, "A Reader's Manifesto: An Attack on the Growing Pretentiousness in American Literary Prose")
(36, 4.5, 'Julius Caesar ')
(34, 3.5, 'The Romantic Manifesto')
(33, 4.0, 'William Shakespeare: The Complete Works')
(33, 3.5, 'Genius: A Mosaic of One Hundred Exemplary Creative Minds')
(32, 4.0, 'The Merchant of Venice : Texts and Contexts ')
(32, 4.0, 'MAXnotes for The Merchant of Venice ')
(31, 3.5, 'The Elusive Embrace : Desire and the Riddle of Identity')
(30, 1.5, 'Pokemon & Harry Potter: A Fatal Attraction')
(30, 5.0, 'War Letters: Extraordinary Correspondence from American Wars')
(30, 4.5, 'J')
(30, 5.0, 'The Precious Present ')
(30, 4.5, 'Lost in the Cosmos : The Last Self')
(30, 4.0, "A Room of One's Own")
(29, 3.5, 'Walden and Other Writings')
(29, 3.5, 'Walden and Other Writings ')
(28, 3.5, 'Of Grammatology')
(28, 3.5, 'Comrades : Brothers')
(27, 4.0, 'Literary Theory: An Introduction')
(27, 4.5, 'Shadow Lines')
(26, 5.0, 'Scaramouche ')
(26, 4.5, 'A Sea of Words')
(26, 3.5, 'The Norton Anthology of English Literature')
(26, 4.5, 'Writing Fiction ')
(26, 4.5, 'The City of God ')
(26, 3.5, 'Norton Anthology of English Literature')
(26, 4.5, "Exercises to Accompany a Writer's Reference")
(26, 3.5, 'The Stephen King Universe')
(25, 4.5, 'Metal Cowboy: Tales from the Road Less Pedaled')
